,pref_voter_id,year,race,first_report_seen,vote_rank,candidate
10740,104913,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10741,104914,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
10742,104915,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10743,104916,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10744,104917,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10745,104918,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10746,104919,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']"
10747,104920,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10748,104921,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10749,104922,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10750,104923,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10751,104924,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
10752,104925,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10753,104926,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
